0,Unnamed: 0,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,year1,year2
0,0,1,60,1,65,8450,1,0,1,1,1,1,1,-5.37E-07,0,0,0.25,0.5,7,5,2003,2003,1,1,1,1,-2.22E-15,196,0.75,0.5,1,0.8,0.6,0.25,706,706,0.1,0,150,856,1,1,1,1,856,854,0,1710,1,0,2,1,3,1,0.8,8,1,0,0,0.8,16,0.6,2,548,0.6,0.6,1,0,61,0,0,0,0,0,0,1,0,2,2008,1,1,208500,5,5
1,1,2,20,1,80,9600,1,0,1,1,1,4.85E-17,1,2.02E-09,1,0,0.25,0.125,6,8,1976,1976,1,1,2.57E-16,-6.51E-19,1,0,0.5,0.5,6.84E-13,0.8,0.6,1,733.5,978,0.1,0,284,1262,1,1,1,1,1262,0,0,1262,0,1,2,0,3,1,0.6,6,1,1,0.6,0.8,43,0.6,2,460,0.6,0.6,1,298,0,0,0,0,0,0,0,1,0,5,2007,1,1,181500,31,31
2,2,3,60,1,68,11250,1,0,0.75,1,1,1,1,-5.37E-07,0,0,0.25,0.5,7,5,2001,2002,1,1,1,1,-2.22E-15,162,0.75,0.5,1,0.8,0.6,0.5,486,486,0.1,0,434,920,1,1,1,1,920,866,0,1786,1,0,2,1,3,1,0.8,6,1,1,0.6,0.8,18,0.6,2,608,0.6,0.6,1,0,42,0,0,0,0,0,0,1,0,9,2008,1,1,223500,7,6
3,3,4,70,1,60,9550,1,0,0.75,1,1,0,1,-1.68E-05,0,0,0.25,0.5,7,5,1915,1970,1,1,3.47E-17,7.12E-16,1,0,0.5,0.5,0,0.6,0.8,0.25,162,216,0.1,0,540,756,1,0.8,1,1,961,756,0,1717,1,0,1,0,3,1,0.8,7,1,1,0.8,0.2,21,0.3,3,642,0.6,0.6,1,0,35,272,0,0,0,0,0,1,0,2,2006,1,0.5,140000,91,36
4,4,5,60,1,84,14260,1,0,0.75,1,1,4.85E-17,1,8.87E-06,0,0,0.25,0.5,8,5,2000,2000,1,1,1,1,-2.22E-15,350,0.75,0.5,1,0.8,0.6,0.75,655,655,0.1,0,490,1145,1,1,1,1,1145,1053,0,2198,1,0,2,1,4,1,0.8,9,1,1,0.6,0.8,19,0.6,3,836,0.6,0.6,1,192,84,0,0,0,0,0,0,1,0,12,2008,1,1,250000,8,8
5,5,6,50,1,85,14115,1,0,0.75,1,1,1,1,4.57E-05,0,0,0.25,0.375,5,5,1993,1995,1,1,1,1,1,0,0.5,0.5,-8.60E-17,0.8,0.6,0.25,732,732,0.1,0,64,796,1,1,1,1,796,566,0,1362,1,0,1,1,1,1,0.6,5,1,0,0,0.8,26,0.3,2,480,0.6,0.6,1,40,30,0,320,0,0,0,0.75,9.15E-17,700,10,2009,1,1,143000,16,14
6,6,7,20,1,75,10084,1,0,1,1,1,1,1,-1.55E-05,0,0,0.25,0.125,8,5,2004,2005,1,1,1,1,7.44E-19,186,0.75,0.5,1,1,0.6,0.75,1369,1369,0.1,0,317,1686,1,1,1,1,1694,0,0,1694,1,0,2,0,3,1,0.8,7,1,1,0.8,0.8,15,0.6,2,636,0.6,0.6,1,255,57,0,0,0,0,0,0,1,0,8,2007,1,1,307000,3,2
7,7,8,60,1,70,10382,1,0,0.75,1,1,0,1,-3.80E-05,0.5,0,0.25,0.5,7,6,1973,1973,1,1,-4.08E-17,9.41E-17,7.44E-19,240,0.5,0.5,6.84E-13,0.8,0.6,0.5,660.25,859,0.5,32,216,1107,1,1,1,1,1107,983,0,2090,1,0,2,1,3,1,0.6,7,1,2,0.6,0.8,46,0.6,2,484,0.6,0.6,1,235,204,228,0,0,0,0,0,9.15E-17,350,11,2009,1,1,200000,36,36
8,8,9,50,-3.33E-16,51,6120,1,0,1,1,1,1,1,1.60E-05,1,0,0.25,0.375,7,5,1931,1950,1,1,-9.91E-20,7.12E-16,1,0,0.5,0.5,0,0.6,0.6,0.25,0,0,0.1,0,952,952,1,0.8,1,0.5,1022,752,0,1774,0,0,2,0,2,2,0.6,8,0.875,2,0.6,0.2,88,0.3,2,468,0.4,0.6,1,90,0,205,0,0,0,0,0,1,0,4,2008,1,0.5,129900,77,58
9,9,10,190,1,50,7420,1,0,1,1,1,0,1,-0.000112956,1,1,0,0.25,5,6,1939,1950,1,1,2.57E-16,-6.51E-19,1,0,0.5,0.5,0,0.6,0.6,0.25,851,851,0.1,0,140,991,1,1,1,1,1077,0,0,1077,1,0,1,0,2,2,0.6,5,1,2,0.6,0.8,80,0.6,1,205,0.8,0.6,1,0,4,0,0,0,0,0,0,1,0,1,2008,1,1,118000,69,58
